17-05-2021 13:42:31 - ERROR - v: 7.1.7 - m: 33.6 MB, u: 1 - 
17-05-2021 13:42:50 - ERROR - v: 7.1.7 - m: 33.6 MB, u: 1 - 
17-05-2021 13:42:57 - ERROR - v: 7.1.7 - m: 33.6 MB, u: 1 - 
17-05-2021 13:43:01 - ERROR - v: 7.1.7 - m: 33.6 MB, u: 1 - 
17-05-2021 13:43:22 - ERROR - v: 7.1.7 - m: 33.5 MB, u: 1 - 
17-05-2021 13:43:26 - ERROR - v: 7.1.7 - m: 33.6 MB, u: 1 - 
17-05-2021 13:43:32 - ERROR - v: 7.1.7 - m: 33.6 MB, u: 1 - 
17-05-2021 13:43:35 - ERROR - v: 7.1.7 - m: 33.6 MB, u: 1 - 
17-05-2021 13:43:37 - ERROR - v: 7.1.7 - m: 33.6 MB, u: 1 - 
17-05-2021 13:43:39 - ERROR - v: 7.1.7 - m: 33.6 MB, u: 1 - 
17-05-2021 14:11:18 - ERROR - v: 7.1.7 - m: 33.9 MB, u: 1 - 
17-05-2021 14:11:26 - ERROR - v: 7.1.7 - m: 33.5 MB, u: 1 - 
